Region,AOI,Date,Distance,Total_UNCY,SourceFile,Unique_ID,YearsSinceBase,NSM,EPR,LRR,WLR
Auckland,Hobsonville,1940-04-22,143.7511479146015,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227997741,0.0,-8.68,-0.1,-0.14,-0.12
Auckland,Hobsonville,1950-10-14,145.62524249108742,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227997741,10.477754962354553,-8.68,-0.1,-0.14,-0.12
Auckland,Hobsonville,2017-01-01,132.4737472364979,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227997741,76.69541409993155,-8.68,-0.1,-0.14,-0.12
Auckland,Hobsonville,2024-01-01,135.06651964768184,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227997741,83.69336071184121,-8.68,-0.1,-0.14,-0.12
Auckland,Hobsonville,1940-04-22,142.6766563409166,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227998951,0.0,-9.52,-0.11,-0.14,-0.12
Auckland,Hobsonville,1950-10-14,143.25928819727883,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227998951,10.477754962354553,-9.52,-0.11,-0.14,-0.12
Auckland,Hobsonville,2017-01-01,131.468844461268,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227998951,76.69541409993155,-9.52,-0.11,-0.14,-0.12
Auckland,Hobsonville,2024-01-01,133.15342587192376,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227998951,83.69336071184121,-9.52,-0.11,-0.14,-0.12
Auckland,Hobsonville,1940-04-22,140.67743293873937,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227999629,0.0,-9.36,-0.11,-0.13,-0.12
Auckland,Hobsonville,1950-10-14,140.83314492301696,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227999629,10.477754962354553,-9.36,-0.11,-0.13,-0.12
Auckland,Hobsonville,2017-01-01,129.9064931361335,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227999629,76.69541409993155,-9.36,-0.11,-0.13,-0.12
Auckland,Hobsonville,2024-01-01,131.317272875632,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100227999629,83.69336071184121,-9.36,-0.11,-0.13,-0.12
Auckland,Hobsonville,1940-04-22,137.46113763579658,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000306,0.0,-7.23,-0.09,-0.1,-0.09
Auckland,Hobsonville,1950-10-14,137.26454943349268,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000306,10.477754962354553,-7.23,-0.09,-0.1,-0.09
Auckland,Hobsonville,2017-01-01,129.21144438552687,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000306,76.69541409993155,-7.23,-0.09,-0.1,-0.09
Auckland,Hobsonville,2024-01-01,130.2261957401975,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000306,83.69336071184121,-7.23,-0.09,-0.1,-0.09
Auckland,Hobsonville,1940-04-22,136.79050036854423,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000764,0.0,-6.62,-0.08,-0.11,-0.1
Auckland,Hobsonville,1950-10-14,139.07928340339296,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000764,10.477754962354553,-6.62,-0.08,-0.11,-0.1
Auckland,Hobsonville,2017-01-01,128.8130261904534,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000764,76.69541409993155,-6.62,-0.08,-0.11,-0.1
Auckland,Hobsonville,2024-01-01,130.16816431115672,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228000764,83.69336071184121,-6.62,-0.08,-0.11,-0.1
Auckland,Hobsonville,1940-04-22,135.6782130092978,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001307,0.0,-5.59,-0.07,-0.07,-0.06
Auckland,Hobsonville,1950-10-14,133.96659885764072,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001307,10.477754962354553,-5.59,-0.07,-0.07,-0.06
Auckland,Hobsonville,2017-01-01,129.37023089125643,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001307,76.69541409993155,-5.59,-0.07,-0.07,-0.06
Auckland,Hobsonville,2024-01-01,130.0907511044374,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001307,83.69336071184121,-5.59,-0.07,-0.07,-0.06
Auckland,Hobsonville,1940-04-22,135.88008765818597,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001836,0.0,-5.35,-0.06,-0.06,-0.05
Auckland,Hobsonville,1950-10-14,133.45323660690983,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001836,10.477754962354553,-5.35,-0.06,-0.06,-0.05
Auckland,Hobsonville,2017-01-01,129.3965990075222,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001836,76.69541409993155,-5.35,-0.06,-0.06,-0.05
Auckland,Hobsonville,2024-01-01,130.5272878807375,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228001836,83.69336071184121,-5.35,-0.06,-0.06,-0.05
Auckland,Hobsonville,1940-04-22,140.01807692734576,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228002363,0.0,-8.17,-0.1,-0.07,-0.06
Auckland,Hobsonville,1950-10-14,133.03469780627987,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228002363,10.477754962354553,-8.17,-0.1,-0.07,-0.06
Auckland,Hobsonville,2017-01-01,130.73160852256024,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228002363,76.69541409993155,-8.17,-0.1,-0.07,-0.06
Auckland,Hobsonville,2024-01-01,131.84856697838728,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228002363,83.69336071184121,-8.17,-0.1,-0.07,-0.06
Auckland,Hobsonville,1940-04-22,142.20090193587373,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003092,0.0,-8.64,-0.1,-0.08,-0.06
Auckland,Hobsonville,1950-10-14,134.5302469238626,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003092,10.477754962354553,-8.64,-0.1,-0.08,-0.06
Auckland,Hobsonville,2017-01-01,132.2069498774284,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003092,76.69541409993155,-8.64,-0.1,-0.08,-0.06
Auckland,Hobsonville,2024-01-01,133.56098196496256,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003092,83.69336071184121,-8.64,-0.1,-0.08,-0.06
Auckland,Hobsonville,1940-04-22,140.8525700075995,2.196221885624259,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003821,0.0,-5.95,-0.07,-0.05,-0.05
Auckland,Hobsonville,1950-10-14,136.48670348456832,2.148496838518281,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003821,10.477754962354553,-5.95,-0.07,-0.05,-0.05
Auckland,Hobsonville,2017-01-01,134.8836783818093,0.436491695224548,Z:\Retrolens\Auckland\Hobsonville\Shorelines\Hobsonville_shorelines.shp,100228003821,76.69541409993155,-5.95,-0.07,-0.05,-0.05
